Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,14036,-34.493057,76,,,,,,
,,,,,14126,-395.17523,90,,,,,,
,,,,,14206,-175.6415,80,,,,,,
,,,,,14300,-157.19379,94,,,,,,
,,,,,14406,-304.9934,106,,,,,,
,,,,,14507,-103.74295,101,,,,,,
,,,,,14634,-406.13782,127,,,,,,
,,,,,14753,-427.66208,119,,,,,,
,,,,,14831,-85.27258,78,,,,,,
,,,,,14937,-296.21545,106,,,,,,
,,,,,15023,-120.26515,86,,,,,,
,,,,,15124,-192.9113,101,,,,,,
,,,,,15238,-214.7344,114,,,,,,
,,,,,15311,-44.66741,73,,,,,,
,,,,,15413,-454.1198,102,,,,,,
,,,,,15513,-68.846115,100,,,,,,
,,,,,15617,-115.15658,104,,,,,,
,,,,,15742,-440.17014,125,,,,,,
,,,,,15865,-87.2747,123,,,,,,
,,,,,15929,-108.45494,64,,,,,,
,,,,,16010,-90.31673,81,,,,,,
,,,,,16086,-157.52368,76,,,,,,
,,,,,16149,-198.84071,63,,,,,,
,,,,,16249,-142.26213,100,,,,,,
,,,,,16407,-190.13605,158,,,,,,
,,,,,16500,-382.5202,93,,,,,,
,,,,,16630,-40.794342,130,,,,,,
,,,,,16759,-207.28168,129,,,,,,
,,,,,16883,-194.6727,124,,,,,,
,,,,,17012,-140.64398,129,,,,,,
,,,,,17107,-366.59668,95,,,,,,
,,,,,17193,-299.60455,86,,,,,,
,,,,,17275,-117.97512,82,,,,,,
,,,,,17375,-182.94748,100,,,,,,
,,,,,17532,-42.08358,157,,,,,,
,,,,,17650,-144.99353,118,,,,,,
,,,,,17745,-148.72098,95,,,,,,
,,,,,17909,-217.30692,164,,,,,,
,,,,,17985,-91.53909,76,,,,,,
,,,,,18085,-325.006,100,,,,,,
,,,,,18173,-72.84578,88,,,,,,
,,,,,18260,-509.5196,87,,,,,,
,,,,,18368,-75.046814,108,,,,,,
,,,,,18485,-121.98145,117,,,,,,
,,,,,18612,-194.10703,127,,,,,,
,,,,,18691,-146.15154,79,,,,,,
,,,,,18785,-93.50328,94,,,,,,
,,,,,18894,-272.1273,109,,,,,,
,,,,,18994,-157.16917,100,,,,,,
,,,,,19138,-387.98575,144,,,,,,
,,,,,19252,-71.91863,114,,,,,,
,,,,,19390,13.718811,138,,,,,,
,,,,,19515,19.970001,125,,,,,,
,,,,,19603,-292.73535,88,,,,,,
,,,,,19732,-92.75735,129,,,,,,
,,,,,19857,-121.02515,125,,,,,,
,,,,,19931,-387.40625,74,,,,,,
-780.2099,211.42361,-454.2301,-1112.3059,117.5,20000,,,5.69614315032959,-0.06331904977560043,-0.7587099075317383,4.6387505531311035,0.88,0.001
,,,,,20004,-346.79105,73,,,,,,
,,,,,20094,-383.01157,90,,,,,,
,,,,,20183,-341.57538,89,,,,,,
,,,,,20258,-77.05486,75,,,,,,
,,,,,20378,-407.36188,120,,,,,,
,,,,,20472,-168.47923,94,,,,,,
,,,,,20566,-101.38024,94,,,,,,
,,,,,20675,-312.9829,109,,,,,,
,,,,,20778,-112.958824,103,,,,,,
,,,,,20874,-120.368195,96,,,,,,
,,,,,20945,-2.4031448,71,,,,,,
,,,,,21000,,,3.539769172668457,-54.32094955444336,-54.18373107910156,6.5329060554504395,0.874,0.001
,,,,,21036,-60.124004,91,,,,,,
,,,,,21112,-93.81643,76,,,,,,
,,,,,21197,37.700516,85,,,,,,
,,,,,21326,-99.97472,129,,,,,,
,,,,,21447,-61.912766,121,,,,,,
,,,,,21537,-318.2376,90,,,,,,
,,,,,21609,-236.66927,72,,,,,,
,,,,,21737,-191.75223,128,,,,,,
,,,,,21835,-135.5678,98,,,,,,
,,,,,21952,-130.90703,117,,,,,,
,,,,,22000,,,6.211080551147461,-42.75185775756836,-41.62566375732422,26.658416748046875,0.868,0.001
,,,,,22045,-223.68405,93,,,,,,
,,,,,22181,-469.7499,136,,,,,,
,,,,,22246,-256.49432,65,,,,,,
,,,,,22345,-129.92157,99,,,,,,
,,,,,22432,-371.73987,87,,,,,,
,,,,,22526,-317.06467,94,,,,,,
,,,,,22649,-363.61578,123,,,,,,
,,,,,22757,-84.6129,108,,,,,,
,,,,,22815,-115.901825,58,,,,,,
,,,,,22930,-166.4799,115,,,,,,
,,,,,23000,,,5.784018039703369,-47.62224578857422,-47.49159240722656,47.72066116333008,0.862,0.001
,,,,,23012,-95.398705,82,,,,,,
,,,,,23121,-136.3245,109,,,,,,
,,,,,23199,-73.41782,78,,,,,,
,,,,,23280,-117.39134,81,,,,,,
,,,,,23369,-140.67226,89,,,,,,
,,,,,23524,-119.28877,155,,,,,,
,,,,,23601,-128.41435,77,,,,,,
,,,,,23694,-132.54565,93,,,,,,
,,,,,23794,-86.40252,100,,,,,,
,,,,,23867,-71.5695,73,,,,,,
,,,,,23979,-73.05371,112,,,,,,
,,,,,24000,,,27.552433013916016,-25.148113250732422,-25.183910369873047,38.0189094543457,0.856,0.001
,,,,,24084,-133.69026,105,,,,,,
,,,,,24165,-123.46239,81,,,,,,
,,,,,24255,-95.1455,90,,,,,,
,,,,,24337,-114.14455,82,,,,,,
,,,,,24421,-107.615204,84,,,,,,
,,,,,24542,-105.09022,121,,,,,,
,,,,,24653,-232.46371,111,,,,,,
,,,,,24722,-156.63629,69,,,,,,
,,,,,24796,-75.46292,74,,,,,,
,,,,,24890,-163.99475,94,,,,,,
,,,,,24995,-204.26392,105,,,,,,
,,,,,25000,,,44.56802749633789,-23.22301483154297,-23.830411911010742,74.273681640625,0.85,0.001
,,,,,25138,-196.89493,143,,,,,,
,,,,,25233,-114.72358,95,,,,,,
,,,,,25355,-142.5866,122,,,,,,
,,,,,25429,-39.345165,74,,,,,,
,,,,,25543,-19.030281,114,,,,,,
,,,,,25610,-97.85213,67,,,,,,
,,,,,25716,-175.14375,106,,,,,,
,,,,,25800,-49.675877,84,,,,,,
,,,,,25946,-111.522865,146,,,,,,
,,,,,26000,,,46.89826965332031,3.5897345542907715,2.746638298034668,87.9123764038086,0.844,0.001
,,,,,26032,-86.38856,86,,,,,,
,,,,,26106,-100.440414,74,,,,,,
,,,,,26233,-121.154205,127,,,,,,
,,,,,26326,-155.60495,93,,,,,,
,,,,,26437,-149.68486,111,,,,,,
,,,,,26570,-328.57,133,,,,,,
,,,,,26676,-117.75422,106,,,,,,
,,,,,26816,-49.3192,140,,,,,,
