Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-196.52051,128.11687,-50.117035,-528.20624,87.30434782608695,-173.13858,85.27514,-10.201576,-364.8174,90.1304347826087,-129.60287475585938,9651.4404296875,2073,0.5981431007385254,-173.13858,0
-232.52197,117.70458,-43.18113,-466.69635,100.0,-167.92749,113.890526,-19.195099,-414.9123,89.73913043478261,-116.07861328125,10388.484375,4137,1.4490070343017578,,1
-151.25516,84.195755,6.789772,-378.08557,101.6,-158.626,113.90177,-8.21257,-427.4579,82.36,-103.81970977783203,9317.9619140625,6196,2.0365850925445557,,2
-150.78282,98.00818,55.07192,-362.84113,96.71428571428571,-172.41347,123.83535,-51.131714,-481.2606,88.65217391304348,-115.74589538574219,10641.6640625,8235,2.619542121887207,,3
-206.2524,89.30551,-81.594574,-378.66833,114.61111111111111,-159.0787,99.08767,20.727448,-457.09045,98.57142857142857,-87.16346740722656,6497.18896484375,10305,3.2621490955352783,,4
-154.56343,107.99117,-57.451725,-520.3694,95.31818181818181,-210.61716,109.030075,-61.96904,-459.20288,106.7,-113.56490325927734,10361.8232421875,12439,3.89243221282959,,5
-168.27031,81.845024,-75.58897,-374.93146,104.65,-170.76596,76.06477,-8.311195,-335.63617,106.84210526315789,-85.22952270507812,5083.21826171875,14469,4.497582197189331,,6
-151.73805,45.834694,-93.05206,-272.96017,92.72727272727273,-163.56056,96.495514,34.136597,-370.87073,92.72727272727273,-84.29169464111328,6503.59130859375,16509,5.073298931121826,,7
-156.19221,84.74641,-59.17897,-364.11206,95.28571428571429,-174.1809,99.201416,-58.28406,-406.48627,91.72727272727273,-88.11212921142578,6401.3466796875,18527,5.644018888473511,,8
-115.21362,40.360695,-65.84686,-226.14944,95.0,-162.40332,91.76619,-2.498828,-392.4059,104.55,-67.59300231933594,4660.638671875,20618,6.248846054077148,,9
-172.96112,71.35124,-83.351074,-317.96503,97.0952380952381,-147.03874,77.06069,21.896042,-302.56436,100.45,-54.113277435302734,2975.660400390625,22627,6.822484970092773,,10
-115.9842,52.052227,16.721642,-211.59387,92.9090909090909,-157.63605,93.98791,-53.5975,-371.82404,91.45454545454545,-71.69481658935547,4655.2646484375,24639,7.385688066482544,,11
-124.02332,50.93956,-57.77735,-239.00992,99.28571428571429,-143.2448,64.63416,-72.00075,-302.0197,98.9047619047619,-49.10478591918945,2549.503173828125,26716,7.985804080963135,,12
-140.4848,58.138054,-63.137432,-311.0509,94.81818181818181,-125.214775,69.37343,7.905136,-325.88364,98.42857142857143,-37.38147735595703,2591.2587890625,28783,8.568241119384766,,13
-129.85553,70.07707,-46.37542,-346.16666,97.04761904761905,-137.14333,49.575382,-39.448143,-229.85265,110.73684210526316,-31.107648849487305,1504.7171630859375,30887,9.167970180511475,,14
-113.07801,52.28091,-47.25683,-262.40314,100.14285714285714,-162.83427,80.97636,-17.407661,-334.1933,109.47368421052632,-44.972774505615234,2442.666259765625,32967,9.771883010864258,,15
-138.15923,60.83027,-51.372955,-346.14038,111.36842105263158,-121.98617,51.92842,-55.247276,-237.56996,101.05,-22.956401824951172,1090.435791015625,34988,10.369657039642334,,16
-90.44514,43.054226,-15.651436,-175.41437,105.6842105263158,-114.24865,44.628216,-25.11268,-211.62582,92.31818181818181,-21.059890747070312,778.4652709960938,37019,10.956708192825317,,17
-127.24495,77.49975,-51.53916,-342.37576,101.5,-101.0846,31.465755,-45.51363,-164.13593,90.69565217391305,-9.561897277832031,640.8675537109375,39105,11.570365905761719,,18
-98.79344,33.480175,-4.061489,-152.74086,101.15,-119.68156,41.361214,-68.58361,-213.85933,88.47826086956522,-22.94757652282715,904.5763549804688,41140,12.147448062896729,,19
-109.74239,53.775894,27.337326,-250.58809,97.23809523809524,-109.97955,54.719944,-23.66079,-277.5252,102.35,-9.131648063659668,1154.2088623046875,43187,12.74548602104187,,20
-128.26923,61.06737,-51.460865,-251.31044,95.95238095238095,-117.69462,48.178444,-49.044285,-246.99982,118.6470588235294,-1.6176692247390747,1122.0751953125,45204,13.33413028717041,,21
-126.26996,68.935684,-31.029655,-301.35635,108.36842105263158,-112.88375,52.398922,-38.571167,-244.4296,101.65,-9.385208129882812,1274.6640625,47237,13.931838035583496,,22
-111.045746,72.31917,-3.585352,-289.5414,106.0,-97.37984,46.313137,-37.01357,-240.52695,96.61904761904762,1.2872369289398193,850.5255126953125,49266,14.51963496208191,,23
-108.658646,50.806767,-39.31725,-269.17322,102.55,-106.03275,51.079422,-1.8608932,-203.95813,116.11111111111111,4.824375152587891,1271.811767578125,51356,15.149414300918579,,24
-101.36763,61.516926,26.317719,-277.55084,119.47058823529412,-93.31572,35.409546,-22.331919,-173.47766,110.0,7.774568557739258,960.5382080078125,53446,15.773543119430542,,25
-99.491356,61.13135,-5.609009,-303.34924,114.0,-92.768295,49.453213,1.0886841,-175.36916,118.17647058823529,9.819726943969727,1090.1988525390625,55455,16.385069131851196,,26
-83.507645,23.524591,-41.236473,-126.36688,105.73684210526316,-116.97048,61.162216,-23.635513,-262.59058,137.6,3.762183666229248,747.0556030273438,57519,17.032927989959717,,27
-91.43393,47.55366,-27.587852,-216.67758,123.76470588235294,-109.829384,61.255566,-7.5434647,-226.76794,124.41176470588235,3.4615814685821533,1539.7662353515625,59634,17.673550128936768,,28
-101.273895,56.09101,-41.364826,-231.55168,138.53333333333333,-96.00091,63.8568,16.45153,-280.80624,129.9375,16.670557022094727,2175.604248046875,61713,18.372878074645996,,29
-97.83271,47.38053,-25.808472,-184.17911,134.8,-99.547,45.82798,-28.186111,-194.20804,131.9375,11.601001739501953,1172.521728515625,63824,19.06299328804016,,30
-70.74888,57.651695,-11.266624,-255.5493,130.75,-84.80403,54.95935,9.227512,-170.95715,122.47058823529412,10.580475807189941,1203.8284912109375,65906,19.735315084457397,,31
-113.59566,67.07296,-13.388123,-257.85504,143.35714285714286,-129.2438,80.82609,-26.415855,-320.94153,146.57142857142858,-4.165038108825684,1780.310791015625,67958,20.412498235702515,,32
-95.85118,51.92223,-33.03778,-233.84079,128.5,-76.72614,60.299675,11.240952,-244.03503,138.375,22.21500015258789,1550.8385009765625,70172,21.105385065078735,,33
-88.0957,43.665684,-25.733131,-233.12091,136.0625,-70.429245,51.597736,3.0050812,-195.63257,131.6875,18.9735107421875,1497.71826171875,72279,21.795221090316772,,34
-97.3404,56.320686,-7.97974,-231.008,158.15384615384616,-72.40018,43.69758,-3.9402924,-147.95268,138.6,18.711589813232422,951.9338989257812,74358,22.513943195343018,,35
-43.352234,44.09594,82.1273,-112.59091,134.13333333333333,-93.9537,56.364902,-23.722816,-198.495,150.64285714285714,12.324517250061035,1271.630615234375,76467,23.196014165878296,,36
-80.01951,32.544926,-26.011824,-141.75229,185.1818181818182,-69.78686,59.93841,49.11915,-183.04927,167.58333333333334,25.92823028564453,1568.0892333984375,78478,23.93630623817444,,37
-74.49706,79.22142,29.343792,-219.70201,184.25,-75.35186,51.605377,-10.414217,-205.28229,171.58333333333334,19.24748992919922,1389.2891845703125,80537,24.76598024368286,,38
-68.69038,75.34685,14.793419,-220.56091,339.5,-87.54013,95.532486,17.345871,-314.24567,177.25,13.364919662475586,1679.419921875,82664,26.207555055618286,,39
-41.91158,29.137455,12.917576,-96.383965,171.15384615384616,-42.86979,28.674383,11.895554,-83.44913,269.0,42.84478759765625,2106.33349609375,84816,27.538133144378662,,40
-99.44711,104.66981,4.1320496,-349.53046,219.6,-52.939312,36.852158,-0.44973946,-108.454346,174.83333333333334,26.429859161376953,1234.0185546875,86914,28.450497150421143,,41
-20.349861,49.27853,56.231194,-74.00606,274.625,-79.3894,84.95382,2.81678,-270.54468,168.0,8.864643096923828,1940.7188720703125,88930,29.65303611755371,,42
-81.20899,73.862976,-5.92984,-272.17792,204.3,-40.835823,38.880814,31.293,-97.01598,172.41666666666666,21.0380859375,1233.78759765625,90999,30.459922313690186,,43
-38.11508,45.432262,28.716515,-153.35394,191.41666666666666,-45.853424,60.46511,13.593079,-212.19852,183.8181818181818,17.932476043701172,1684.7373046875,93021,31.332972049713135,,44
-69.17922,61.917553,15.67597,-215.35547,145.0,-46.24027,26.842646,-9.839645,-93.09976,186.72727272727272,21.40962791442871,1115.6781005859375,95075,32.06813311576843,,45
-41.45794,25.127268,-2.2521286,-87.638435,148.85714285714286,-23.519466,33.7483,30.136108,-72.02997,145.71428571428572,23.49858283996582,1269.2037353515625,97115,32.77104997634888,,46
-38.255215,32.351585,7.3373394,-114.82408,151.21428571428572,-44.264,34.64169,5.9002304,-111.92049,158.84615384615384,15.72679328918457,1095.3499755859375,99180,33.53203725814819,,47
-22.862894,27.00101,33.534058,-74.469666,147.0,-46.21236,35.603436,14.740004,-139.24214,148.5,8.65991497039795,1248.2962646484375,101259,34.228501081466675,,48
-25.422468,22.565441,13.4583435,-53.944626,176.91666666666666,-42.508858,28.51555,6.943859,-83.64754,144.57142857142858,8.931499481201172,1021.23486328125,103283,34.97550892829895,,49
-34.095806,23.046524,2.3355541,-81.85904,179.25,-30.491945,27.178204,21.962109,-75.255516,156.92857142857142,15.665862083435059,888.1761474609375,105480,35.80801606178284,,50
-48.902473,37.87694,13.798058,-90.906075,264.125,-0.66587764,31.80856,60.177452,-44.514328,222.66666666666666,29.778451919555664,1494.783447265625,108152,37.37513017654419,,51
1.0650902,16.276892,22.868164,-16.229828,673.6666666666666,-41.398335,55.33032,16.992645,-155.12129,348.1666666666667,16.167430877685547,1608.1427001953125,110241,39.74738931655884,,52
-15.013647,17.874752,10.500404,-43.23849,537.0,-76.75548,76.37601,13.738533,-239.22055,229.55555555555554,-4.938788414001465,1325.6414794921875,112307,41.85964798927307,,53
-14.29933,30.570395,16.294495,-63.758144,515.8,-37.37531,40.396828,33.48919,-100.90617,224.9,6.989722728729248,1122.546630859375,114556,44.65022611618042,,54
-69.89347,85.467476,24.380383,-208.4619,501.25,-128.35297,77.04462,-20.825205,-238.68079,519.25,3.2338409423828125,974.204833984375,116633,46.6345100402832,,55
