Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-194.02504,120.25997,9.384525,-469.86847,97.19047619047619,-164.63863,104.9649,-27.827354,-407.85767,91.18181818181819,-38.933013916015625,9873.4326171875,2006,0.5734663009643555,-164.63863,0
-179.77333,96.325745,-83.37581,-405.60675,94.0909090909091,-139.54759,68.94965,18.634285,-254.15872,89.0,-30.808353424072266,6465.6015625,4053,1.4267630577087402,,1
-128.60324,82.99723,13.94014,-308.5393,104.3,-202.639,109.19187,-72.76929,-523.5931,100.05,-39.176116943359375,11962.046875,6054,2.000762939453125,,2
-180.17108,112.813866,-13.414516,-390.03058,101.7,-212.1655,110.17206,-93.85351,-476.42532,102.35,-38.87678527832031,12171.9404296875,8101,2.578216075897217,,3
-168.5485,91.132835,-67.234375,-380.99777,102.55,-161.52274,91.79443,-59.426407,-510.97943,99.19047619047619,-27.567115783691406,6816.0126953125,10184,3.1608400344848633,,4
-140.68665,85.831314,5.0231857,-318.10718,97.66666666666667,-156.17067,103.51338,21.354668,-384.9782,99.33333333333333,-24.063600540161133,6016.44970703125,12270,3.7464070320129395,,5
-149.11697,88.401054,-31.067963,-333.0071,102.0952380952381,-181.74295,118.14677,-11.246689,-438.25586,101.95,-28.173641204833984,8493.775390625,14309,4.3485870361328125,,6
-171.25018,83.515274,-16.652733,-301.2406,110.15789473684211,-147.469,58.62609,-36.210186,-268.36984,112.11111111111111,-17.777023315429688,3308.193359375,16327,4.94027304649353,,7
-153.81255,91.33256,-27.741196,-347.8615,108.26315789473684,-141.20775,73.04138,22.259827,-283.4375,106.3157894736842,-15.964523315429688,2982.1416015625,18347,5.517786264419556,,8
-126.38102,63.399113,-48.941936,-302.34656,119.88235294117646,-161.59431,86.57022,-55.54418,-308.84937,121.6470588235294,-16.529766082763672,6145.04541015625,20415,6.204241037368774,,9
-120.72767,59.021152,-58.91069,-290.23926,112.26315789473684,-130.08325,80.571556,-0.97769165,-329.75916,97.95238095238095,-14.113343238830566,3346.107666015625,22472,6.804261922836304,,10
-115.91238,64.03376,0.69052124,-254.6789,130.7058823529412,-150.64227,81.0728,-34.727715,-304.6864,116.27777777777777,-12.509532928466797,2786.453369140625,24565,7.461602210998535,,11
-129.42227,90.55464,4.005974,-306.65265,118.70588235294117,-109.6689,104.69231,-15.995853,-397.66974,118.41176470588235,-4.7298784255981445,2907.152099609375,26578,8.057827234268188,,12
-114.75117,61.323498,-36.279415,-256.2744,126.25,-145.84547,67.6954,-37.61761,-281.01852,144.07142857142858,-7.12389612197876,2266.110107421875,28595,8.696358919143677,,13
-123.545166,70.103035,-7.268688,-250.59035,121.70588235294117,-128.52916,106.630875,9.593391,-346.20483,121.23529411764706,-5.917965888977051,3708.8916015625,30656,9.330363988876343,,14
-138.71875,77.619514,-57.390316,-326.0034,125.375,-121.537605,58.91158,-47.5372,-233.01697,136.73333333333332,-2.883495807647705,1052.484130859375,32707,9.949122190475464,,15
-108.9379,73.48476,-55.43494,-298.22766,230.55555555555554,-85.591515,86.02988,23.55574,-284.47473,127.3125,1.3743400573730469,1978.815673828125,34744,10.989644050598145,,16
-94.624374,107.189865,16.804117,-331.31412,141.66666666666666,-139.57283,68.54832,-19.611523,-293.47406,142.46666666666667,-4.616839408874512,2057.72119140625,36881,11.695430994033813,,17
