Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-773.2249,230.59933,-549.9248,-1311.6384,100.8,0,,,,,,,,
,,,,,103,-310.92883,104,,,,,,
,,,,,221,-34.815308,118,,,,,,
,,,,,314,-110.3746,93,,,,,,
,,,,,450,-134.98698,136,,,,,,
,,,,,533,-87.0834,83,,,,,,
,,,,,641,-404.81873,108,,,,,,
,,,,,730,-208.90556,89,,,,,,
,,,,,817,-449.8892,87,,,,,,
,,,,,938,-123.3737,121,,,,,,
,,,,,1028,-225.03206,90,,,,,,
,,,,,1123,-222.45207,95,,,,,,
,,,,,1205,-124.56096,82,,,,,,
,,,,,1288,-256.04013,83,,,,,,
,,,,,1371,-170.3029,83,,,,,,
,,,,,1469,-450.52396,98,,,,,,
,,,,,1614,-86.21144,145,,,,,,
,,,,,1683,-144.71068,69,,,,,,
,,,,,1778,-195.70282,95,,,,,,
,,,,,1841,-85.09754,63,,,,,,
,,,,,1899,-95.739174,58,,,,,,
,,,,,1960,-115.300186,61,,,,,,
,,,,,2038,-104.593124,78,,,,,,
,,,,,2098,-122.71709,60,,,,,,
,,,,,2156,-167.18243,58,,,,,,
,,,,,2264,-146.69063,108,,,,,,
,,,,,2360,-228.48807,96,,,,,,
,,,,,2427,-89.27706,67,,,,,,
,,,,,2514,-144.48422,87,,,,,,
,,,,,2615,-106.887955,101,,,,,,
,,,,,2715,-297.4202,100,,,,,,
,,,,,2796,-184.16284,81,,,,,,
,,,,,2907,-251.65909,111,,,,,,
,,,,,2976,-139.25262,69,,,,,,
,,,,,3047,-186.03668,71,,,,,,
,,,,,3131,-110.795204,84,,,,,,
,,,,,3222,-175.47186,91,,,,,,
,,,,,3296,-155.6737,74,,,,,,
,,,,,3380,-120.82773,84,,,,,,
,,,,,3477,-243.15755,97,,,,,,
,,,,,3582,-174.43192,105,,,,,,
,,,,,3662,-89.77275,80,,,,,,
,,,,,3772,-300.61902,110,,,,,,
,,,,,3843,-279.2082,71,,,,,,
,,,,,3921,-450.8924,78,,,,,,
,,,,,4007,-149.76633,86,,,,,,
,,,,,4092,-87.13388,85,,,,,,
,,,,,4185,-338.04642,93,,,,,,
,,,,,4295,-242.40721,110,,,,,,
,,,,,4409,-108.37454,114,,,,,,
,,,,,4497,-203.26498,88,,,,,,
,,,,,4619,-402.6621,122,,,,,,
,,,,,4719,-264.3689,100,,,,,,
,,,,,4801,-53.489616,82,,,,,,
,,,,,4936,-186.7355,135,,,,,,
,,,,,4997,-78.3342,61,,,,,,
,,,,,5061,-125.52025,64,,,,,,
,,,,,5142,-118.414536,81,,,,,,
,,,,,5269,-107.16743,127,,,,,,
,,,,,5374,-263.8161,105,,,,,,
,,,,,5468,-99.57531,94,,,,,,
,,,,,5539,-88.56472,71,,,,,,
,,,,,5612,-103.09619,73,,,,,,
,,,,,5732,-194.34293,120,,,,,,
,,,,,5833,-321.4347,101,,,,,,
,,,,,5929,-400.96075,96,,,,,,
,,,,,6082,-310.15973,153,,,,,,
,,,,,6148,-85.27561,66,,,,,,
,,,,,6232,-277.13507,84,,,,,,
,,,,,6334,-329.49225,102,,,,,,
,,,,,6398,-46.969894,64,,,,,,
,,,,,6485,-134.42805,87,,,,,,
,,,,,6586,-289.67148,101,,,,,,
,,,,,6650,-181.00304,64,,,,,,
,,,,,6721,-98.004265,71,,,,,,
,,,,,6795,-213.14656,74,,,,,,
,,,,,6888,-281.36163,93,,,,,,
,,,,,6968,-332.29483,80,,,,,,
,,,,,7059,-588.6504,91,,,,,,
,,,,,7179,-192.8366,120,,,,,,
,,,,,7268,-96.82223,89,,,,,,
,,,,,7355,-456.12283,87,,,,,,
,,,,,7456,-316.81232,101,,,,,,
,,,,,7564,-131.41954,108,,,,,,
,,,,,7660,-504.2629,96,,,,,,
,,,,,7767,-353.10828,107,,,,,,
,,,,,7854,-106.956345,87,,,,,,
,,,,,7965,-394.24585,111,,,,,,
,,,,,8056,-499.00165,91,,,,,,
,,,,,8140,-113.76891,84,,,,,,
,,,,,8252,-427.76898,112,,,,,,
,,,,,8384,-450.3773,132,,,,,,
,,,,,8495,-489.07333,111,,,,,,
,,,,,8608,-371.01144,113,,,,,,
,,,,,8733,-310.50275,125,,,,,,
,,,,,8816,-219.60294,83,,,,,,
,,,,,8904,-242.79549,88,,,,,,
,,,,,8988,-225.07835,84,,,,,,
,,,,,9071,-96.8694,83,,,,,,
,,,,,9149,-126.39729,78,,,,,,
,,,,,9279,-178.85428,130,,,,,,
,,,,,9367,-398.7523,88,,,,,,
,,,,,9453,-235.16559,86,,,,,,
,,,,,9572,-300.212,119,,,,,,
,,,,,9693,-380.2856,121,,,,,,
,,,,,9778,-230.19357,85,,,,,,
,,,,,9859,-169.87967,81,,,,,,
,,,,,9979,-167.17169,120,,,,,,
-619.9121,183.36044,-450.05478,-1061.9421,83.5,10000,,,,,,,,
,,,,,10097,-93.10617,118,,,,,,
,,,,,10191,-387.81854,94,,,,,,
,,,,,10279,-244.28043,88,,,,,,
,,,,,10369,-330.90668,90,,,,,,
,,,,,10440,-142.98221,71,,,,,,
,,,,,10568,-151.86949,128,,,,,,
,,,,,10646,-109.94064,78,,,,,,
,,,,,10720,-92.45578,74,,,,,,
,,,,,10821,-118.94397,101,,,,,,
,,,,,10959,-111.85766,138,,,,,,
,,,,,11018,-119.47641,59,,,,,,
,,,,,11116,-219.81781,98,,,,,,
,,,,,11245,-85.24772,129,,,,,,
,,,,,11329,-283.82425,84,,,,,,
,,,,,11429,-100.40701,100,,,,,,
,,,,,11510,-80.79113,81,,,,,,
,,,,,11579,-58.7528,69,,,,,,
,,,,,11682,-170.06137,103,,,,,,
,,,,,11781,-433.03323,99,,,,,,
,,,,,11856,-289.4084,75,,,,,,
,,,,,11979,-77.405556,123,,,,,,
,,,,,12042,-51.76523,63,,,,,,
