Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-170.72198,103.86754,-32.380005,-393.94742,98.52380952380952,-194.03468,115.00678,30.187698,-411.24872,88.65217391304348,-83.50129699707031,14464.458984375,2039,0.597714900970459,-194.03468,0
-176.89008,100.37135,-64.37185,-392.0744,91.36363636363636,-161.51631,98.91737,-51.737328,-560.5708,87.95652173913044,-62.303916931152344,8581.484375,4062,1.4278759956359863,,1
-173.70796,98.2772,-44.302162,-406.23294,101.05,-151.00584,109.563896,5.0508194,-570.4662,88.8695652173913,-56.730926513671875,8953.0888671875,6106,2.0220348834991455,,2
-137.60023,91.07635,30.075722,-399.91794,93.36363636363636,-188.11142,119.44448,-2.622551,-488.64667,92.36363636363636,-66.70901489257812,11892.203125,8138,2.602020025253296,,3
-132.4769,67.94804,-66.169754,-375.72552,86.95652173913044,-144.48666,100.94012,-1.3879623,-498.6213,93.5909090909091,-45.380104064941406,6129.6611328125,10197,3.171173095703125,,4
-131.55988,98.720146,7.416298,-495.05215,98.0952380952381,-128.73924,64.215065,-44.36312,-319.4913,96.0,-37.332923889160156,3631.065673828125,12213,3.754971742630005,,5
-135.27861,71.31477,-36.654507,-285.59247,89.91304347826087,-130.0102,84.4368,-52.940758,-474.00403,93.68181818181819,-36.15413284301758,4423.166015625,14274,4.349695920944214,,6
-109.051605,32.83082,-53.39612,-175.14758,95.61904761904762,-155.863,71.03378,-60.032074,-309.6291,112.5,-37.38254165649414,4120.265625,16299,4.936228036880493,,7
-123.363304,68.37998,-38.576683,-251.95418,103.05,-127.13381,47.30688,-61.2719,-248.83179,93.9090909090909,-30.99905776977539,2406.038330078125,18365,5.532225847244263,,8
-131.03697,74.85273,-26.312668,-417.4561,100.3,-159.6193,85.395,-70.22033,-394.1368,103.95,-36.81306076049805,4416.58544921875,20444,6.18317985534668,,9
