Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
13.837838,10.092849,62.0,3.0,13.837837837837839,8.590052,4.764258,35.0,3.0,8.590051457975987,15.591132164001465,5008,0.6140358448028564,8.590052,0
19.980392,11.234558,49.0,5.0,19.980392156862745,12.673418,8.535091,54.0,3.0,12.673417721518987,25.842342376708984,10014,1.4585378170013428,,1
29.18919,18.150776,91.0,5.0,29.18918918918919,18.210909,12.16549,69.0,3.0,18.21090909090909,37.44361114501953,15022,1.9919447898864746,,2
26.789474,12.1008005,59.0,10.0,26.789473684210527,24.807882,14.303106,73.0,5.0,24.807881773399014,47.14519119262695,20058,2.544512987136841,,3
47.95238,22.250687,90.0,9.0,47.95238095238095,35.56338,20.43625,119.0,5.0,35.563380281690144,66.1136474609375,25108,3.0966758728027344,,4
43.695652,18.999851,81.0,16.0,43.69565217391305,39.44882,19.417383,114.0,11.0,39.44881889763779,68.9276351928711,30118,3.6300528049468994,,5
53.63158,11.122336,76.0,34.0,53.63157894736842,42.652542,17.839384,90.0,9.0,42.652542372881356,70.7823715209961,35151,4.1662468910217285,,6
48.809525,19.920362,88.0,18.0,48.80952380952381,47.411217,19.366102,102.0,10.0,47.41121495327103,77.18275451660156,40224,4.704907655715942,,7
53.57895,18.316849,93.0,20.0,53.578947368421055,49.166668,18.976809,93.0,11.0,49.166666666666664,79.40623474121094,45239,5.235553026199341,,8
49.57143,14.532629,94.0,20.0,49.57142857142857,52.489582,19.770555,121.0,14.0,52.489583333333336,83.63982391357422,50278,5.764729738235474,,9
57.5,26.885042,134.0,17.0,57.5,48.951458,19.069305,121.0,9.0,48.95145631067961,79.5173568725586,55320,6.303969621658325,,10
55.05263,16.97203,84.0,15.0,55.05263157894737,51.773197,16.069118,106.0,11.0,51.77319587628866,79.93600463867188,60342,6.848955869674683,,11
46.81818,10.598612,79.0,29.0,46.81818181818182,52.166668,18.674664,101.0,8.0,52.166666666666664,83.06258392333984,65350,7.393345832824707,,12
50.05,17.477057,109.0,25.0,50.05,53.276596,15.631668,119.0,15.0,53.276595744680854,80.27848815917969,70358,7.911341667175293,,13
53.4,15.077799,84.0,26.0,53.4,52.083332,17.500992,121.0,14.0,52.083333333333336,80.42069244384766,75358,8.439461708068848,,14
