Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-1109.17,587.2786,-445.79944,-2250.6492,143.1,0,,,,,,,,
,,,,,112,-94.3592,113,,,,,,
,,,,,216,-15.066307,104,,,,,,
,,,,,296,-194.33319,80,,,,,,
,,,,,398,-212.37018,102,,,,,,
,,,,,470,-163.61142,72,,,,,,
,,,,,537,-235.2804,67,,,,,,
,,,,,621,-49.873005,84,,,,,,
,,,,,712,-317.92303,91,,,,,,
,,,,,810,-264.45212,98,,,,,,
,,,,,875,-94.771126,65,,,,,,
,,,,,983,-341.26584,108,,,,,,
,,,,,1057,-101.29171,74,,,,,,
,,,,,1160,-136.66278,103,,,,,,
,,,,,1274,-361.39777,114,,,,,,
,,,,,1388,-261.71692,114,,,,,,
,,,,,1495,-93.59387,107,,,,,,
,,,,,1615,-120.84314,120,,,,,,
,,,,,1685,-106.06379,70,,,,,,
,,,,,1761,-115.79817,76,,,,,,
,,,,,1855,-197.2263,94,,,,,,
,,,,,1981,-453.1315,126,,,,,,
,,,,,2049,-74.14241,68,,,,,,
,,,,,2136,-220.17453,87,,,,,,
,,,,,2230,-199.18864,94,,,,,,
,,,,,2319,-415.06863,89,,,,,,
,,,,,2432,-175.36958,113,,,,,,
,,,,,2521,-266.57956,89,,,,,,
,,,,,2590,-124.738205,69,,,,,,
,,,,,2675,-242.97935,85,,,,,,
,,,,,2762,-173.33414,87,,,,,,
,,,,,2846,-125.24858,84,,,,,,
,,,,,2906,-82.15208,60,,,,,,
,,,,,2981,-124.28529,75,,,,,,
,,,,,3061,-114.62599,80,,,,,,
,,,,,3166,-372.90768,105,,,,,,
,,,,,3235,-189.29059,69,,,,,,
,,,,,3351,-337.27625,116,,,,,,
,,,,,3485,-84.177315,134,,,,,,
,,,,,3622,-260.18207,137,,,,,,
,,,,,3740,-371.30496,118,,,,,,
,,,,,3830,-126.042145,90,,,,,,
,,,,,3913,-127.47103,83,,,,,,
,,,,,4010,-99.38942,97,,,,,,
,,,,,4150,-94.14697,140,,,,,,
,,,,,4257,-359.14758,107,,,,,,
,,,,,4370,-313.4088,113,,,,,,
,,,,,4485,-175.58728,115,,,,,,
,,,,,4556,-107.5856,71,,,,,,
,,,,,4658,-82.46912,102,,,,,,
,,,,,4761,-396.97156,103,,,,,,
,,,,,4866,-295.038,105,,,,,,
,,,,,4944,-80.08524,78,,,,,,
,,,,,5021,-63.629723,77,,,,,,
,,,,,5161,-439.98978,140,,,,,,
,,,,,5260,-165.38794,99,,,,,,
,,,,,5341,-200.66806,81,,,,,,
,,,,,5500,-451.08774,159,,,,,,
,,,,,5586,-104.27507,86,,,,,,
,,,,,5668,-243.20317,82,,,,,,
,,,,,5765,-204.24612,97,,,,,,
,,,,,5841,-362.1677,76,,,,,,
,,,,,5916,-91.223206,75,,,,,,
,,,,,5986,-123.170456,70,,,,,,
,,,,,6082,-389.69116,96,,,,,,
,,,,,6173,-143.2263,91,,,,,,
,,,,,6316,-134.73204,143,,,,,,
,,,,,6382,-59.008423,66,,,,,,
,,,,,6467,-149.88437,85,,,,,,
,,,,,6533,-145.8558,66,,,,,,
,,,,,6645,-218.3869,112,,,,,,
,,,,,6716,-148.72316,71,,,,,,
,,,,,6790,-105.51062,74,,,,,,
,,,,,6861,-166.18279,71,,,,,,
,,,,,6962,-256.19925,101,,,,,,
,,,,,7067,-67.259476,105,,,,,,
,,,,,7156,-435.1093,89,,,,,,
,,,,,7277,-153.14444,121,,,,,,
,,,,,7391,-238.83678,114,,,,,,
,,,,,7467,-60.079853,76,,,,,,
,,,,,7582,-396.79684,115,,,,,,
,,,,,7654,-68.749344,72,,,,,,
,,,,,7759,-332.09845,105,,,,,,
,,,,,7852,-180.27066,93,,,,,,
,,,,,7992,-325.18686,140,,,,,,
,,,,,8109,-82.01971,117,,,,,,
,,,,,8219,-308.67847,110,,,,,,
,,,,,8330,-252.55513,111,,,,,,
,,,,,8430,-370.19824,100,,,,,,
,,,,,8504,-278.16235,74,,,,,,
,,,,,8576,-122.430786,72,,,,,,
,,,,,8684,-142.3234,108,,,,,,
,,,,,8745,-309.3254,61,,,,,,
,,,,,8831,-259.60242,86,,,,,,
,,,,,8985,-38.169613,154,,,,,,
,,,,,9077,-389.9991,92,,,,,,
,,,,,9188,-333.87274,111,,,,,,
,,,,,9285,-363.17902,97,,,,,,
,,,,,9377,-314.3275,92,,,,,,
,,,,,9489,-223.12451,112,,,,,,
,,,,,9605,-170.06087,116,,,,,,
,,,,,9721,-182.90858,116,,,,,,
,,,,,9823,-303.0749,102,,,,,,
,,,,,9886,-139.46088,63,,,,,,
,,,,,9976,-337.4277,90,,,,,,
-1502.2781,1663.8257,-455.42288,-6258.7246,164.1,10000,,,,,,,,
,,,,,10067,-149.68646,91,,,,,,
,,,,,10144,-128.55997,77,,,,,,
,,,,,10264,-231.70627,120,,,,,,
,,,,,10343,-99.17096,79,,,,,,
,,,,,10458,-317.16415,115,,,,,,
,,,,,10552,-378.23413,94,,,,,,
,,,,,10628,-168.63481,76,,,,,,
,,,,,10711,-104.94478,83,,,,,,
,,,,,10806,-116.04159,95,,,,,,
,,,,,10897,-281.4071,91,,,,,,
,,,,,11026,-98.59295,129,,,,,,
,,,,,11128,-141.66974,102,,,,,,
,,,,,11206,-94.60835,78,,,,,,
,,,,,11295,-117.364365,89,,,,,,
,,,,,11370,-50.066643,75,,,,,,
,,,,,11461,46.626877,91,,,,,,
,,,,,11574,-64.35163,113,,,,,,
,,,,,11636,-116.08552,62,,,,,,
,,,,,11726,-452.7718,90,,,,,,
,,,,,11812,-244.30217,86,,,,,,
,,,,,11904,6.6959534,92,,,,,,
,,,,,12017,-242.12682,113,,,,,,
,,,,,12098,-335.14072,81,,,,,,
,,,,,12184,-87.977264,86,,,,,,
,,,,,12283,-356.37048,99,,,,,,
,,,,,12348,-108.435265,65,,,,,,
,,,,,12449,-126.44977,101,,,,,,
,,,,,12539,-363.25162,90,,,,,,
,,,,,12674,-198.90016,135,,,,,,
,,,,,12762,-426.42084,88,,,,,,
,,,,,12865,-406.8735,103,,,,,,
,,,,,12943,-293.68857,78,,,,,,
,,,,,13026,-116.41575,83,,,,,,
,,,,,13189,-475.06992,163,,,,,,
,,,,,13316,-103.65236,127,,,,,,
,,,,,13379,-152.7083,63,,,,,,
